word	zipf_frequency	tokens
de	7.73	['de']
van	7.51	['van']
het	7.49	['het']
een	7.41	['een']
en	7.40	['en']
in	7.36	['in']
is	7.20	['is']
op	7.12	['op']
ik	7.11	['ik']
dat	7.10	['dat']
voor	7.05	['voor']
je	7.04	['je']
te	7.02	['te']
met	7.00	['met']
niet	6.96	['niet']
zijn	6.96	['zijn']
die	6.90	['die']
als	6.80	['als']
er	6.78	['er']
maar	6.77	['maar']
om	6.77	['om']
aan	6.76	['aan']
hij	6.70	['hij']
ook	6.69	['ook']
ze	6.69	['ze']
door	6.66	['door']
naar	6.65	['naar']
uit	6.65	['uit']
bij	6.62	['bij']
dan	6.62	['dan']
dit	6.61	['dit']
was	6.61	['was']
we	6.60	['we']
wat	6.58	['wat']
heeft	6.56	['heeft']
of	6.54	['of']
over	6.54	['over']
nog	6.53	['nog']
deze	6.51	['deze']
hebben	6.49	['hebben']
kan	6.45	['kan']
meer	6.44	['meer']
zo	6.43	['zo']
al	6.42	['al']
geen	6.42	['geen']
mijn	6.41	['mijn']
wel	6.40	['wel']
tot	6.39	['tot']
u	6.39	['u']
worden	6.38	['worden']
nu	6.37	['nu']
haar	6.30	['haar']
ben	6.29	['ben']
kunnen	6.26	['kunnen']
veel	6.26	['veel']
jaar	6.25	['jaar']
me	6.25	['me']
moet	6.25	['moet']
hoe	6.23	['hoe']
na	6.21	['na']
ons	6.21	['ons']
waar	6.21	['waar']
goed	6.20	['goed']
gaan	6.18	['gaan']
onze	6.18	['onze']
wil	6.18	['wil']
zich	6.17	['zich']
doen	6.13	['doen']
hier	6.12	['hier']
dus	6.11	['dus']
tegen	6.11	['tegen']
maken	6.10	['maken']
alleen	6.09	['alleen']
mij	6.08	['mij']
onder	6.08	['onder']
had	6.07	['had']
hun	6.07	['hun']
twee	6.06	['twee']
weer	6.05	['weer']
zien	6.05	['zien']
jij	6.03	['jij']
moeten	6.03	['moeten']
eerste	6.02	['eerste']
wij	6.02	['wij']
echt	6.01	['echt']
eens	6.01	['eens']
daar	6.00	['daar']
heel	6.00	['heel']
toch	6.00	['toch']
dag	5.99	['dag']
mee	5.99	['mee']
staat	5.98	['staat']
alle	5.97	['alle']
tijd	5.97	['tijd']
zij	5.97	['zij']
zoals	5.97	['zoals']
iets	5.95	['iets']
komen	5.95	['komen']
leven	5.95	['leven']
omdat	5.95	['omdat']
toen	5.95	['toen']
't	5.93	['t']
ga	5.93	['ga']
t	5.93	['t']
waren	5.92	['waren']
hem	5.91	['hem']
jullie	5.91	['jullie']
tijdens	5.91	['tijdens']
altijd	5.90	['altijd']
tussen	5.90	['tussen']
ja	5.89	['ja']
weet	5.89	['weet']
wie	5.89	['wie']
laten	5.88	['laten']
waarom	5.88	['waarom']
alles	5.86	['alles']
net	5.86	['net']
via	5.86	['via']
even	5.85	['even']
gewoon	5.85	['gewoon']
grote	5.85	['grote']
man	5.85	['man']
terug	5.85	['terug']
af	5.84	['af']
laat	5.84	['laat']
zonder	5.84	['zonder']
uur	5.83	['uur']
steeds	5.82	['steeds']
bent	5.81	['bent']
eigen	5.81	['eigen']
keer	5.81	['keer']
willen	5.81	['willen']
iedereen	5.80	['iedereen']
weg	5.80	['weg']
hele	5.79	['hele']
iemand	5.79	['iemand']
binnen	5.78	['binnen']
uw	5.78	['uw']
werk	5.78	['werk']
nooit	5.77	['nooit']
zit	5.77	['zit']
één	5.77	['één']
drie	5.76	['drie']
zelf	5.76	['zelf']
aantal	5.75	['aantal']
geven	5.75	['geven']
hebt	5.75	['hebt']
samen	5.75	['samen']
vinden	5.75	['vinden']
kunt	5.74	['kunt']
plaats	5.74	['plaats']
snel	5.74	['snel']
toe	5.74	['toe']
deel	5.73	['deel']
elkaar	5.73	['elkaar']
huis	5.73	['huis']
laatste	5.73	['laatste']
nederland	5.73	['nederland']
nodig	5.73	['nodig']
vanaf	5.73	['vanaf']
vrouw	5.73	['vrouw']
weten	5.73	['weten']
doet	5.72	['doet']
krijgen	5.72	['krijgen']
m	5.72	['m']
want	5.72	['want']
allemaal	5.71	['allemaal']
beter	5.71	['beter']
erg	5.71	['erg']
staan	5.71	['staan']
zeggen	5.71	['zeggen']
gemaakt	5.69	['gemaakt']
land	5.69	['land']
naam	5.69	['naam']
zeker	5.69	['zeker']
zullen	5.69	['zullen']
misschien	5.68	['misschien']
stad	5.68	['stad']
volgens	5.68	['volgens']
anders'	5.67	['anders']
anders	5.67	['anders']
goede	5.67	['goede']
houden	5.67	['houden']
blijven	5.66	['blijven']
graag	5.66	['graag']
jou	5.66	['jou']
verder	5.66	['verder']
wanneer	5.66	['wanneer']
beste	5.65	['beste']
lang	5.65	['lang']
niets	5.65	['niets']
per	5.65	['per']
vandaag	5.65	['vandaag']
vragen	5.65	['vragen']
werken	5.65	['werken']
's	5.64	['s']
dagen	5.64	['dagen']
eerst	5.64	['eerst']
elke	5.64	['elke']
s	5.64	['s']
vraag	5.64	['vraag']
zelfs	5.64	['zelfs']
gezien	5.63	['gezien']
nee	5.63	['nee']
wereld	5.63	['wereld']
a	5.62	['a']
helemaal	5.62	['helemaal']
kom	5.62	['kom']
paar	5.62	['paar']
doe	5.61	['doe']
foto	5.61	['foto']
geld	5.61	['geld']
kijk	5.61	['kijk']
vooral	5.61	['vooral']
leuk	5.60	['leuk']
nemen	5.60	['nemen']
vaak	5.60	['vaak']
achter	5.59	['achter']
gedaan	5.59	['gedaan']
groot	5.59	['groot']
natuurlijk	5.59	['natuurlijk']
sinds	5.59	['sinds']
zo'n	5.59	["zo'n"]
bijna	5.58	['bijna']
kijken	5.58	['kijken']
mooi	5.58	['mooi']
ten	5.58	['ten']
week	5.58	['week']
dood	5.57	['dood']
familie	5.56	['familie']
nieuws	5.56	['nieuws']
rond	5.56	['rond']
website	5.56	['website']
wilt	5.56	['wilt']
zitten	5.56	['zitten']
jouw	5.55	['jouw']
kleine	5.55	['kleine']
online	5.55	['online']
moment	5.54	['moment']
tweede	5.54	['tweede']
manier	5.53	['manier']
politie	5.53	['politie']
welke	5.53	['welke']
buiten	5.52	['buiten']
enkele	5.52	['enkele']
geleden	5.52	['geleden']
kun	5.52	['kun']
water	5.52	['water']
eten	5.51	['eten']
klaar	5.51	['klaar']
mannen	5.51	['mannen']
nieuw	5.51	['nieuw']
oude	5.51	['oude']
september	5.51	['september']
ter	5.51	['ter']
denken	5.50	['denken']
echter	5.50	['echter']
enige	5.50	['enige']
gebruik	5.50	['gebruik']
helpen	5.50	['helpen']
hoop	5.50	['hoop']
men	5.50	['men']
minder	5.50	['minder']
nou	5.50	['nou']
open	5.50	['open']
beetje	5.49	['beetje']
bekend	5.49	['bekend']
dingen	5.49	['dingen']
genoeg	5.49	['genoeg']
groep	5.49	['groep']
later	5.49	['later']
maart	5.49	['maart']
mogelijk	5.49	['mogelijk']
auto	5.48	['auto']
school	5.48	['school']
soms	5.48	['soms']
thuis	5.48	['thuis']
den	5.47	['den']
film	5.47	['film']
gebruiken	5.47	['gebruiken']
niks	5.47	['niks']
spelen	5.47	['spelen']
zoek	5.47	['zoek']
hen	5.46	['hen']
onderzoek	5.46	['onderzoek']
terwijl	5.46	['terwijl']
vier	5.46	['vier']
zeg	5.46	['zeg']
zorgen	5.46	['zorgen']
eigenlijk	5.45	['eigenlijk']
informatie	5.45	['informatie']
pas	5.45	['pas']
waarin	5.45	['waarin']
amsterdam	5.44	['amsterdam']
april	5.44	['april']
nederlandse	5.44	['nederlandse']
probleem	5.44	['probleem']
vanuit	5.44	['vanuit']
video	5.44	['video']
maak	5.43	['maak']
n	5.43	['n']
ooit	5.43	['ooit']
soort	5.43	['soort']
vader	5.43	['vader']
vast	5.43	['vast']
zeer	5.43	['zeer']
zuid	5.43	['zuid']
artikel	5.42	['artikel']
begin	5.42	['begin']
gebied	5.42	['gebied']
vrij	5.42	['vrij']
zodat	5.42	['zodat']
amerikaanse	5.41	['amerikaanse']
best	5.41	['best']
daarom	5.41	['daarom']
idee	5.41	['idee']
leren	5.41	['leren']
moeder	5.41	['moeder']
ongeveer	5.41	['ongeveer']
regio	5.41	['regio']
vijf	5.41	['vijf']
boven	5.40	['boven']
der	5.40	['der']
e	5.40	['e']
niemand	5.40	['niemand']
oktober	5.40	['oktober']
verhaal	5.40	['verhaal']
brengen	5.39	['brengen']
eerder	5.39	['eerder']
kans	5.39	['kans']
meest	5.39	['meest']
d	5.38	['d']
hand	5.38	['hand']
horen	5.38	['horen']
november	5.38	['november']
opnieuw	5.38	['opnieuw']
ander	5.37	['ander']
meisje	5.37	['meisje']
muziek	5.37	['muziek']
naast	5.37	['naast']
slechts	5.37	['slechts']
waarbij	5.37	['waarbij']
zetten	5.37	['zetten']
zoon	5.37	['zoon']
daarna	5.36	['daarna']
duidelijk	5.36	['duidelijk']
hoofd	5.36	['hoofd']
kind	5.36	['kind']
vond	5.36	['vond']
wachten	5.36	['wachten']
zorg	5.36	['zorg']
zowel	5.36	['zowel']
boek	5.35	['boek']
dank	5.35	['dank']
gehad	5.35	['gehad']
gemeente	5.35	['gemeente']
gratis	5.35	['gratis']
hoor	5.35	['hoor']
hou	5.35	['hou']
lekker	5.35	['lekker']
team	5.35	['team']
vroeg	5.35	['vroeg']
weinig	5.35	['weinig']
belangrijk	5.34	['belangrijk']
blij	5.34	['blij']
druk	5.34	['druk']
gelijk	5.34	['gelijk']
lopen	5.34	['lopen']
mogen	5.34	['mogen']
oud	5.34	['oud']
precies	5.34	['precies']
vol	5.34	['vol']
afgelopen	5.33	['afgelopen']
beginnen	5.33	['beginnen']
december	5.33	['december']
dezelfde	5.33	['dezelfde']
geval	5.33	['geval']
miljoen	5.33	['miljoen']
o	5.33	['o']
sommige	5.33	['sommige']
zoeken	5.33	['zoeken']
zoveel	5.33	['zoveel']
halen	5.32	['halen']
lange	5.32	['lange']
lezen	5.32	['lezen']
mei	5.32	['mei']
moeilijk	5.32	['moeilijk']
nummer	5.32	['nummer']
ouders	5.32	['ouders']
partij	5.32	['partij']
top	5.32	['top']
weken	5.32	['weken']
zaken	5.32	['zaken']
bezig	5.31	['bezig']
i	5.31	['i']
januari	5.31	['januari']
langs	5.31	['langs']
morgen	5.31	['morgen']
hulp	5.30	['hulp']
klein	5.30	['klein']
krijg	5.30	['krijg']
m'n	5.30	["m'n"]
nadat	5.30	['nadat']
vele	5.30	['vele']
bedankt	5.29	['bedankt']
bijvoorbeeld	5.29	['bijvoorbeeld']
delen	5.29	['delen']
maand	5.29	['maand']
noord	5.29	['noord']
oorlog	5.29	['oorlog']
praten	5.29	['praten']
recht	5.29	['recht']
wilde	5.29	['wilde']
zet	5.29	['zet']
einde	5.28	['einde']
kamer	5.28	['kamer']
meeste	5.28	['meeste']
plaatsen	5.28	['plaatsen']
prijs	5.28	['prijs']
programma	5.28	['programma']
stond	5.28	['stond']
twitter	5.28	['twitter']
b	5.27	['b']
c	5.27	['c']
facebook	5.27	['facebook']
liggen	5.27	['liggen']
neem	5.27	['neem']
orde	5.27	['orde']
volgen	5.27	['volgen']
geef	5.26	['geef']
geplaatst	5.26	['geplaatst']
juist	5.26	['juist']
kant	5.26	['kant']
landen	5.26	['landen']
reden	5.26	['reden']
vanwege	5.26	['vanwege']
waardoor	5.26	['waardoor']
zaak	5.26	['zaak']
elk	5.25	['elk']
euro	5.25	['euro']
europa	5.25	['europa']
gevoel	5.25	['gevoel']
jonge	5.25	['jonge']
media	5.25	['media']
tv	5.25	['tv']
voordat	5.25	['voordat']
aandacht	5.24	['aandacht']
anderen	5.24	['anderen']
beide	5.24	['beide']
geschiedenis	5.24	['geschiedenis']
hetzelfde	5.24	['hetzelfde']
juli	5.24	['juli']
lees	5.24	['lees']
midden	5.24	['midden']
ogen	5.24	['ogen']
proberen	5.24	['proberen']
slecht	5.24	['slecht']
stuk	5.24	['stuk']
vervolgens	5.24	['vervolgens']
waarschijnlijk	5.24	['waarschijnlijk']
bedrijf	5.23	['bedrijf']
februari	5.23	['februari']
gegeven	5.23	['gegeven']
gelukkig	5.23	['gelukkig']
juni	5.23	['juni']
lichaam	5.23	['lichaam']
onderwijs	5.23	['onderwijs']
plek	5.23	['plek']
stellen	5.23	['stellen']
wedstrijd	5.23	['wedstrijd']
zes	5.23	['zes']
dochter	5.22	['dochter']
ervan	5.22	['ervan']
meteen	5.22	['meteen']
persoon	5.22	['persoon']
rol	5.22	['rol']
uiteindelijk	5.22	['uiteindelijk']
vorm	5.22	['vorm']
woord	5.22	['woord']
augustus	5.21	['augustus']
buurt	5.21	['buurt']
contact	5.21	['contact']
gepubliceerd	5.21	['gepubliceerd']
kopen	5.21	['kopen']
leeftijd	5.21	['leeftijd']
lid	5.21	['lid']
liefde	5.21	['liefde']
minister	5.21	['minister']
toekomst	5.21	['toekomst']
zat	5.21	['zat']
avond	5.20	['avond']
betalen	5.20	['betalen']
doel	5.20	['doel']
hart	5.20	['hart']
heen	5.20	['heen']
ieder	5.20	['ieder']
organisatie	5.20	['organisatie']
provincie	5.20	['provincie']
tien	5.20	['tien']
vergeten	5.20	['vergeten']
actie	5.19	['actie']
p	5.19	['p']
rest	5.19	['rest']
bang	5.18	['bang']
centrum	5.18	['centrum']
direct	5.18	['direct']
god	5.18	['god']
internet	5.18	['internet']
jan	5.18	['jan']
jarige	5.18	['jarige']
oh	5.18	['oh']
plan	5.18	['plan']
president	5.18	['president']
zichzelf	5.18	['zichzelf']
alsof	5.17	['alsof']
basis	5.17	['basis']
derde	5.17	['derde']
enkel	5.17	['enkel']
geloof	5.17	['geloof']
genoemd	5.17	['genoemd']
http	5.17	['http']
mens	5.17	['mens']
overal	5.17	['overal']
politiek	5.17	['politiek']
project	5.17	['project']
staten	5.17	['staten']
vertellen	5.17	['vertellen']
waarvan	5.17	['waarvan']
x	5.17	['x']
zin	5.17	['zin']
bestaan	5.16	['bestaan']
ervoor	5.16	['ervoor']
europese	5.16	['europese']
extra	5.16	['extra']
grond	5.16	['grond']
hoeveel	5.16	['hoeveel']
konden	5.16	['konden']
kort	5.16	['kort']
leiden	5.16	['leiden']
seizoen	5.16	['seizoen']
vallen	5.16	['vallen']
algemeen	5.15	['algemeen']
antwoord	5.15	['antwoord']
bericht	5.15	['bericht']
daarmee	5.15	['daarmee']
doden	5.15	['doden']
eind	5.15	['eind']
geweldig	5.15	['geweldig']
hard	5.15	['hard']
links	5.15	['links']
meter	5.15	['meter']
omgeving	5.15	['omgeving']
onderdeel	5.15	['onderdeel']
succes	5.15	['succes']
vanavond	5.15	['vanavond']
ver	5.15	['ver']
welkom	5.15	['welkom']
wet	5.15	['wet']
boeken	5.14	['boeken']
gehouden	5.14	['gehouden']
hoewel	5.14	['hoewel']
iedere	5.14	['iedere']
kleur	5.14	['kleur']
site	5.14	['site']
stap	5.14	['stap']
telefoon	5.14	['telefoon']
waarmee	5.14	['waarmee']
waarop	5.14	['waarop']
wonen	5.14	['wonen']
bed	5.13	['bed']
beeld	5.13	['beeld']
bezoek	5.13	['bezoek']
dienst	5.13	['dienst']
gek	5.13	['gek']
inderdaad	5.13	['inderdaad']
jezelf	5.13	['jezelf']
jongens	5.13	['jongens']
leger	5.13	['leger']
lijst	5.13	['lijst']
los	5.13	['los']
rijden	5.13	['rijden']
stem	5.13	['stem']
verloren	5.13	['verloren']
zwarte	5.13	['zwarte']
blijf	5.12	['blijf']
club	5.12	['club']
erop	5.12	['erop']
frankrijk	5.12	['frankrijk']
geboren	5.12	['geboren']
helaas	5.12	['helaas']
kent	5.12	['kent']
mis	5.12	['mis']
ontwikkeling	5.12	['ontwikkeling']
rode	5.12	['rode']
spel	5.12	['spel']
sterk	5.12	['sterk']
totaal	5.12	['totaal']
veilig	5.12	['veilig']
vriend	5.12	['vriend']
waaronder	5.12	['waaronder']
bedrijven	5.11	['bedrijven']
diverse	5.11	['diverse']
inmiddels	5.11	['inmiddels']
internationale	5.11	['internationale']
