word	zipf_frequency	tokens
w	7.55	['w']
i	7.42	['i']
nie	7.37	['nie']
na	7.34	['na']
się	7.30	['się']
to	7.29	['to']
z	7.29	['z']
do	7.11	['do']
jest	7.06	['jest']
że	7.05	['że']
o	6.91	['o']
jak	6.88	['jak']
a	6.87	['a']
ale	6.75	['ale']
co	6.75	['co']
tak	6.70	['tak']
za	6.67	['za']
od	6.65	['od']
po	6.65	['po']
dla	6.59	['dla']
tym	6.56	['tym']
czy	6.55	['czy']
przez	6.53	['przez']
tego	6.50	['tego']
są	6.48	['są']
ma	6.47	['ma']
tylko	6.47	['tylko']
już	6.44	['już']
mi	6.43	['mi']
mnie	6.43	['mnie']
ze	6.43	['ze']
może	6.39	['może']
bo	6.35	['bo']
ja	6.35	['ja']
ten	6.32	['ten']
oraz	6.30	['oraz']
bardzo	6.29	['bardzo']
będzie	6.29	['będzie']
być	6.27	['być']
jego	6.27	['jego']
by	6.26	['by']
sobie	6.26	['sobie']
ich	6.25	['ich']
mam	6.25	['mam']
jeśli	6.24	['jeśli']
też	6.22	['też']
jeszcze	6.20	['jeszcze']
był	6.18	['był']
jako	6.16	['jako']
jestem	6.16	['jestem']
było	6.15	['było']
jej	6.15	['jej']
kiedy	6.14	['kiedy']
który	6.14	['który']
nawet	6.13	['nawet']
teraz	6.13	['teraz']
go	6.12	['go']
no	6.11	['no']
pod	6.11	['pod']
coś	6.10	['coś']
ci	6.07	['ci']
tam	6.07	['tam']
te	6.07	['te']
więc	6.07	['więc']
gdy	6.06	['gdy']
gdzie	6.06	['gdzie']
tej	6.06	['tej']
bez	6.05	['bez']
żeby	6.05	['żeby']
jednak	6.03	['jednak']
lub	6.03	['lub']
wiem	6.03	['wiem']
nic	6.02	['nic']
wszystko	6.02	['wszystko']
można	6.01	['można']
przy	6.01	['przy']
przed	6.00	['przed']
więcej	6.00	['więcej']
chyba	5.99	['chyba']
nas	5.99	['nas']
także	5.99	['także']
tu	5.99	['tu']
on	5.98	['on']
była	5.97	['była']
u	5.97	['u']
również	5.94	['również']
ta	5.94	['ta']
ktoś	5.93	['ktoś']
niż	5.93	['niż']
dobrze	5.92	['dobrze']
kto	5.92	['kto']
r	5.92	['r']
zawsze	5.92	['zawsze']
właśnie	5.90	['właśnie']
masz	5.89	['masz']
sie	5.89	['sie']
aby	5.87	['aby']
albo	5.87	['albo']
ty	5.86	['ty']
czas	5.84	['czas']
dzięki	5.83	['dzięki']
podczas	5.83	['podczas']
bardziej	5.82	['bardziej']
dlaczego	5.82	['dlaczego']
nich	5.82	['nich']
raz	5.82	['raz']
mu	5.81	['mu']
nad	5.81	['nad']
nigdy	5.81	['nigdy']
im	5.80	['im']
mamy	5.79	['mamy']
życie	5.79	['życie']
je	5.78	['je']
jesteś	5.78	['jesteś']
temu	5.78	['temu']
tutaj	5.78	['tutaj']
wiele	5.78	['wiele']
będą	5.77	['będą']
jeden	5.77	['jeden']
miejsce	5.77	['miejsce']
polski	5.77	['polski']
wszyscy	5.77	['wszyscy']
wszystkie	5.77	['wszystkie']
były	5.76	['były']
kilka	5.76	['kilka']
nam	5.76	['nam']
sposób	5.76	['sposób']
we	5.76	['we']
domu	5.75	['domu']
dzień	5.75	['dzień']
razem	5.75	['razem']
siebie	5.75	['siebie']
taki	5.75	['taki']
swoje	5.74	['swoje']
trochę	5.74	['trochę']
dlatego	5.73	['dlatego']
każdy	5.73	['każdy']
dwa	5.72	['dwa']
miał	5.72	['miał']
mój	5.72	['mój']
naprawdę	5.72	['naprawdę']
ok	5.72	['ok']
sam	5.72	['sam']
trzeba	5.72	['trzeba']
ją	5.71	['ją']
mieć	5.71	['mieć']
nim	5.71	['nim']
ciebie	5.70	['ciebie']
oni	5.69	['oni']
cię	5.68	['cię']
dalej	5.68	['dalej']
dużo	5.68	['dużo']
nikt	5.68	['nikt']
stanie	5.68	['stanie']
dziś	5.67	['dziś']
moja	5.67	['moja']
ona	5.67	['ona']
strony	5.67	['strony']
pierwszy	5.66	['pierwszy']
lepiej	5.65	['lepiej']
potem	5.65	['potem']
wtedy	5.65	['wtedy']
aż	5.64	['aż']
będę	5.64	['będę']
jaki	5.64	['jaki']
tyle	5.64	['tyle']
cały	5.63	['cały']
ile	5.63	['ile']
my	5.63	['my']
wielu	5.63	['wielu']
według	5.62	['według']
czemu	5.61	['czemu']
musi	5.61	['musi']
oczywiście	5.61	['oczywiście']
zrobić	5.61	['zrobić']
czyli	5.60	['czyli']
między	5.60	['między']
niech	5.60	['niech']
proszę	5.60	['proszę']
taka	5.60	['taka']
temat	5.60	['temat']
ani	5.59	['ani']
później	5.59	['później']
dobry	5.58	['dobry']
pan	5.58	['pan']
pewnie	5.58	['pewnie']
czego	5.57	['czego']
często	5.57	['często']
d	5.57	['d']
jeżeli	5.57	['jeżeli']
nadal	5.57	['nadal']
was	5.57	['was']
jakiś	5.56	['jakiś']
polska	5.56	['polska']
poza	5.56	['poza']
dziękuję	5.55	['dziękuję']
lata	5.55	['lata']
prawo	5.55	['prawo']
rok	5.55	['rok']
jesteśmy	5.54	['jesteśmy']
dzisiaj	5.53	['dzisiaj']
kiedyś	5.53	['kiedyś']
ponad	5.53	['ponad']
zdjęcie	5.53	['zdjęcie']
część	5.52	['część']
prawie	5.52	['prawie']
stronie	5.52	['stronie']
kurwa	5.51	['kurwa']
nowe	5.51	['nowe']
pani	5.51	['pani']
problem	5.51	['problem']
s	5.51	['s']
trzy	5.51	['trzy']
film	5.50	['film']
tą	5.50	['tą']
wcześniej	5.50	['wcześniej']
świecie	5.50	['świecie']
one	5.49	['one']
gdyby	5.48	['gdyby']
nowy	5.48	['nowy']
ponieważ	5.48	['ponieważ']
szybko	5.48	['szybko']
dobra	5.47	['dobra']
koniec	5.47	['koniec']
obecnie	5.47	['obecnie']
pewno	5.47	['pewno']
c	5.46	['c']
mimo	5.46	['mimo']
prawda	5.46	['prawda']
należy	5.45	['należy']
około	5.45	['około']
przecież	5.45	['przecież']
razy	5.45	['razy']
byli	5.44	['byli']
dopiero	5.44	['dopiero']
jakby	5.44	['jakby']
sama	5.44	['sama']
celu	5.43	['celu']
jedna	5.43	['jedna']
m	5.43	['m']
tę	5.43	['tę']
wciąż	5.43	['wciąż']
wśród	5.43	['wśród']
zbyt	5.43	['zbyt']
większość	5.42	['większość']
dość	5.41	['dość']
powiedzieć	5.41	['powiedzieć']
robić	5.41	['robić']
słowa	5.41	['słowa']
wam	5.41	['wam']
wie	5.41	['wie']
da	5.40	['da']
dokładnie	5.40	['dokładnie']
swój	5.40	['swój']
udział	5.40	['udział']
zdjęcia	5.40	['zdjęcia']
świat	5.40	['świat']
brak	5.39	['brak']
chociaż	5.39	['chociaż']
dobre	5.39	['dobre']
pytanie	5.39	['pytanie']
centrum	5.38	['centrum']
kilku	5.38	['kilku']
maja	5.38	['maja']
niestety	5.38	['niestety']
choć	5.37	['choć']
jedynie	5.37	['jedynie']
natomiast	5.37	['natomiast']
pomocy	5.37	['pomocy']
powinien	5.37	['powinien']
usa	5.37	['usa']
wraz	5.37	['wraz']
zaraz	5.37	['zaraz']
człowiek	5.36	['człowiek']
dziecko	5.36	['dziecko']
mniej	5.36	['mniej']
nasz	5.36	['nasz']
ostatnio	5.36	['ostatnio']
raczej	5.36	['raczej']
rzecz	5.36	['rzecz']
znaleźć	5.36	['znaleźć']
coraz	5.35	['coraz']
czasem	5.35	['czasem']
daj	5.35	['daj']
jedno	5.35	['jedno']
p	5.35	['p']
skoro	5.35	['skoro']
de	5.34	['de']
nr	5.34	['nr']
przykład	5.34	['przykład']
sobą	5.34	['sobą']
dzieje	5.33	['dzieje']
nią	5.33	['nią']
zamiast	5.33	['zamiast']
e	5.32	['e']
znowu	5.32	['znowu']
będziemy	5.31	['będziemy']
nimi	5.31	['nimi']
strona	5.31	['strona']
system	5.31	['system']
przeciwko	5.30	['przeciwko']
przynajmniej	5.30	['przynajmniej']
inny	5.29	['inny']
zarówno	5.29	['zarówno']
b	5.28	['b']
gra	5.28	['gra']
głównie	5.28	['głównie']
lecz	5.28	['lecz']
poprzez	5.28	['poprzez']
wobec	5.28	['wobec']
zostać	5.28	['zostać']
źle	5.28	['źle']
drugi	5.27	['drugi']
podoba	5.27	['podoba']
rząd	5.27	['rząd']
szczególnie	5.27	['szczególnie']
twój	5.27	['twój']
warto	5.27	['warto']
wody	5.27	['wody']
zostanie	5.27	['zostanie']
fakt	5.26	['fakt']
ii	5.26	['ii']
pomiędzy	5.26	['pomiędzy']
pomysł	5.26	['pomysł']
sa	5.26	['sa']
x	5.26	['x']
zł	5.26	['zł']
będziesz	5.25	['będziesz']
gdzieś	5.25	['gdzieś']
inaczej	5.25	['inaczej']
mało	5.25	['mało']
osoba	5.25	['osoba']
pomoc	5.25	['pomoc']
sprawa	5.25	['sprawa']
t	5.25	['t']
boże	5.24	['boże']
bądź	5.24	['bądź']
długo	5.24	['długo']
grupa	5.24	['grupa']
kolejny	5.24	['kolejny']
miasto	5.24	['miasto']
zobaczyć	5.24	['zobaczyć']
powinno	5.23	['powinno']
super	5.23	['super']
jednocześnie	5.22	['jednocześnie']
jutro	5.22	['jutro']
mieli	5.22	['mieli']
pis	5.22	['pis']
widać	5.22	['widać']
wy	5.22	['wy']
dom	5.21	['dom']
iść	5.21	['iść']
iż	5.21	['iż']
jakoś	5.21	['jakoś']
projekt	5.21	['projekt']
wiadomości	5.21	['wiadomości']
zanim	5.21	['zanim']
byłem	5.20	['byłem']
kobieta	5.20	['kobieta']
następnie	5.20	['następnie']
państwo	5.20	['państwo']
program	5.20	['program']
same	5.20	['same']
wczoraj	5.20	['wczoraj']
dr	5.19	['dr']
godziny	5.19	['godziny']
historia	5.19	['historia']
kim	5.19	['kim']
oczy	5.19	['oczy']
trudno	5.19	['trudno']
września	5.19	['września']
zgodnie	5.19	['zgodnie']
klasy	5.18	['klasy']
książki	5.18	['książki']
mocno	5.18	['mocno']
najpierw	5.18	['najpierw']
pana	5.18	['pana']
rano	5.18	['rano']
skąd	5.18	['skąd']
byłoby	5.17	['byłoby']
ciągle	5.17	['ciągle']
czasami	5.17	['czasami']
kogo	5.17	['kogo']
mną	5.17	['mną']
mówić	5.17	['mówić']
nowa	5.17	['nowa']
pomóc	5.17	['pomóc']
przede	5.17	['przede']
wcale	5.17	['wcale']
cztery	5.16	['cztery']
dane	5.16	['dane']
dać	5.16	['dać']
drogi	5.16	['drogi']
jaka	5.16	['jaka']
la	5.16	['la']
prawdopodobnie	5.16	['prawdopodobnie']
przepraszam	5.16	['przepraszam']
szczęście	5.16	['szczęście']
zwłaszcza	5.16	['zwłaszcza']
imię	5.15	['imię']
kraj	5.15	['kraj']
ostatni	5.15	['ostatni']
praca	5.15	['praca']
stan	5.15	['stan']
szkoda	5.15	['szkoda']
zupełnie	5.15	['zupełnie']
obok	5.14	['obok']
oto	5.14	['oto']
pierwsza	5.14	['pierwsza']
podobnie	5.14	['podobnie']
serio	5.14	['serio']
śmierć	5.14	['śmierć']
góry	5.13	['góry']
l	5.13	['l']
pół	5.13	['pół']
warszawa	5.13	['warszawa']
byłam	5.12	['byłam']
k	5.12	['k']
liczba	5.12	['liczba']
rodzina	5.12	['rodzina']
mama	5.11	['mama']
prezydent	5.11	['prezydent']
stać	5.11	['stać']
telefon	5.11	['telefon']
zmienić	5.11	['zmienić']
żyć	5.11	['żyć']
całkiem	5.10	['całkiem']
media	5.10	['media']
zwykle	5.10	['zwykle']
ciężko	5.09	['ciężko']
gdyż	5.09	['gdyż']
głos	5.09	['głos']
nagle	5.09	['nagle']
najlepszy	5.09	['najlepszy']
ojciec	5.09	['ojciec']
poziom	5.09	['poziom']
tydzień	5.09	['tydzień']
zespół	5.09	['zespół']
znacznie	5.09	['znacznie']
juz	5.08	['juz']
język	5.08	['język']
policja	5.08	['policja']
ponownie	5.08	['ponownie']
rodzice	5.08	['rodzice']
wielki	5.08	['wielki']
zaś	5.08	['zaś']
całkowicie	5.07	['całkowicie']
celem	5.07	['celem']
jasne	5.07	['jasne']
kupić	5.07	['kupić']
możliwość	5.07	['możliwość']
oprócz	5.07	['oprócz']
parę	5.07	['parę']
tobie	5.07	['tobie']
wiadomo	5.07	['wiadomo']
wiec	5.07	['wiec']
dawno	5.06	['dawno']
dziecka	5.06	['dziecka']
h	5.06	['h']
j	5.06	['j']
km	5.06	['km']
n	5.06	['n']
siły	5.06	['siły']
sytuacja	5.06	['sytuacja']
wiedzieć	5.06	['wiedzieć']
zdecydowanie	5.06	['zdecydowanie']
autor	5.05	['autor']
dostęp	5.05	['dostęp']
hej	5.05	['hej']
kościół	5.05	['kościół']
miłość	5.05	['miłość']
najmniej	5.05	['najmniej']
niby	5.05	['niby']
plan	5.05	['plan']
spokojnie	5.05	['spokojnie']
wyłącznie	5.05	['wyłącznie']
zdaniem	5.05	['zdaniem']
znów	5.05	['znów']
drugie	5.04	['drugie']
szkoła	5.04	['szkoła']
słowo	5.04	['słowo']
ul	5.04	['ul']
wybory	5.04	['wybory']
artykuł	5.03	['artykuł']
okres	5.03	['okres']
twarz	5.03	['twarz']
wrażenie	5.03	['wrażenie']
względem	5.03	['względem']
właściwie	5.03	['właściwie']
łatwo	5.03	['łatwo']
droga	5.02	['droga']
druga	5.02	['druga']
