word	zipf_frequency	tokens
в	7.63	['в']
и	7.47	['и']
на	7.25	['на']
не	7.20	['не']
с	7.14	['с']
что	7.09	['что']
я	6.91	['я']
по	6.88	['по']
а	6.86	['а']
как	6.85	['как']
из	6.77	['из']
это	6.73	['это']
за	6.69	['за']
для	6.67	['для']
о	6.66	['о']
к	6.65	['к']
-то	6.64	['то']
но	6.64	['но']
то	6.64	['то']
у	6.63	['у']
его	6.59	['его']
он	6.59	['он']
от	6.59	['от']
все	6.58	['все']
так	6.49	['так']
же	6.40	['же']
мы	6.40	['мы']
до	6.38	['до']
ты	6.37	['ты']
только	6.36	['только']
если	6.35	['если']
когда	6.35	['когда']
было	6.33	['было']
меня	6.32	['меня']
уже	6.31	['уже']
бы	6.28	['бы']
или	6.27	['или']
их	6.26	['их']
они	6.25	['они']
при	6.24	['при']
будет	6.23	['будет']
время	6.21	['время']
кто	6.21	['кто']
года	6.20	['года']
чтобы	6.20	['чтобы']
есть	6.19	['есть']
она	6.19	['она']
во	6.18	['во']
вы	6.17	['вы']
может	6.17	['может']
после	6.17	['после']
нет	6.16	['нет']
очень	6.14	['очень']
со	6.13	['со']
была	6.12	['была']
также	6.12	['также']
вот	6.10	['вот']
ее	6.10	['ее']
чем	6.10	['чем']
быть	6.08	['быть']
где	6.08	['где']
под	6.08	['под']
да	6.04	['да']
даже	6.04	['даже']
можно	6.04	['можно']
того	6.03	['того']
просто	6.02	['просто']
больше	6.01	['больше']
сейчас	6.00	['сейчас']
том	6.00	['том']
более	5.99	['более']
г	5.99	['г']
ну	5.98	['ну']
без	5.97	['без']
лет	5.96	['лет']
нас	5.96	['нас']
ни	5.96	['ни']
об	5.96	['об']
там	5.96	['там']
человек	5.96	['человек']
себя	5.95	['себя']
этот	5.95	['этот']
который	5.94	['который']
ли	5.94	['ли']
м	5.94	['м']
раз	5.94	['раз']
один	5.92	['один']
теперь	5.92	['теперь']
всего	5.91	['всего']
сегодня	5.91	['сегодня']
надо	5.89	['надо']
через	5.88	['через']
сша	5.86	['сша']
тоже	5.86	['тоже']
почему	5.85	['почему']
день	5.84	['день']
пока	5.83	['пока']
тем	5.82	['тем']
всегда	5.80	['всегда']
между	5.79	['между']
здесь	5.78	['здесь']
потому	5.78	['потому']
нужно	5.77	['нужно']
себе	5.77	['себе']
такой	5.77	['такой']
год	5.76	['год']
два	5.76	['два']
однако	5.76	['однако']
п	5.76	['п']
люди	5.75	['люди']
много	5.75	['много']
ничего	5.75	['ничего']
тут	5.75	['тут']
всё	5.73	['всё']
её	5.73	['её']
жизнь	5.73	['жизнь']
нам	5.73	['нам']
несколько	5.73	['несколько']
тогда	5.73	['тогда']
мой	5.72	['мой']
ещё	5.71	['ещё']
место	5.71	['место']
потом	5.71	['потом']
против	5.71	['против']
хорошо	5.71	['хорошо']
вместе	5.68	['вместе']
лишь	5.68	['лишь']
дело	5.67	['дело']
лучше	5.67	['лучше']
над	5.67	['над']
какой	5.66	['какой']
тот	5.66	['тот']
именно	5.65	['именно']
перед	5.65	['перед']
поэтому	5.65	['поэтому']
сделать	5.65	['сделать']
три	5.65	['три']
конечно	5.64	['конечно']
мира	5.64	['мира']
стал	5.64	['стал']
первый	5.63	['первый']
хотя	5.62	['хотя']
ведь	5.61	['ведь']
вообще	5.61	['вообще']
дома	5.60	['дома']
спасибо	5.60	['спасибо']
эта	5.60	['эта']
никогда	5.59	['никогда']
сам	5.59	['сам']
вопрос	5.57	['вопрос']
деньги	5.57	['деньги']
новый	5.57	['новый']
около	5.57	['около']
почти	5.57	['почти']
свой	5.56	['свой']
часть	5.55	['часть']
делать	5.54	['делать']
должен	5.54	['должен']
кроме	5.54	['кроме']
каждый	5.53	['каждый']
среди	5.53	['среди']
ссср	5.53	['ссср']
е	5.52	['е']
россия	5.52	['россия']
дом	5.51	['дом']
ним	5.51	['ним']
либо	5.50	['либо']
сколько	5.50	['сколько']
буду	5.49	['буду']
никто	5.49	['никто']
назад	5.48	['назад']
сказать	5.48	['сказать']
слова	5.48	['слова']
друг	5.47	['друг']
например	5.47	['например']
затем	5.46	['затем']
моя	5.46	['моя']
оно	5.46	['оно']
про	5.46	['про']
см	5.46	['см']
сразу	5.46	['сразу']
второй	5.45	['второй']
другой	5.45	['другой']
нельзя	5.45	['нельзя']
снова	5.45	['снова']
совсем	5.45	['совсем']
правда	5.44	['правда']
рф	5.44	['рф']
значит	5.43	['значит']
куда	5.43	['куда']
т	5.43	['т']
игры	5.41	['игры']
кажется	5.41	['кажется']
б	5.40	['б']
большой	5.40	['большой']
весь	5.40	['весь']
годы	5.40	['годы']
новости	5.39	['новости']
мир	5.38	['мир']
найти	5.38	['найти']
слишком	5.38	['слишком']
участие	5.38	['участие']
иногда	5.37	['иногда']
момент	5.37	['момент']
москва	5.37	['москва']
фильм	5.37	['фильм']
возможно	5.36	['возможно']
го	5.36	['го']
д	5.36	['д']
права	5.36	['права']
город	5.35	['город']
марта	5.35	['марта']
менее	5.35	['менее']
давно	5.34	['давно']
зачем	5.34	['зачем']
раньше	5.34	['раньше']
рядом	5.34	['рядом']
течение	5.34	['течение']
точно	5.34	['точно']
часто	5.34	['часто']
быстро	5.33	['быстро']
действительно	5.33	['действительно']
мая	5.33	['мая']
многие	5.33	['многие']
период	5.33	['период']
работа	5.33	['работа']
александр	5.32	['александр']
говорить	5.32	['говорить']
достаточно	5.32	['достаточно']
количество	5.32	['количество']
мог	5.32	['мог']
типа	5.32	['типа']
уж	5.32	['уж']
впервые	5.31	['впервые']
вчера	5.31	['вчера']
завтра	5.31	['завтра']
имя	5.31	['имя']
какая	5.31	['какая']
ко	5.31	['ко']
пусть	5.31	['пусть']
равно	5.31	['равно']
руки	5.31	['руки']
внимание	5.30	['внимание']
должно	5.30	['должно']
немного	5.30	['немного']
ночь	5.30	['ночь']
согласно	5.30	['согласно']
стать	5.30	['стать']
хоть	5.30	['хоть']
жить	5.29	['жить']
пять	5.29	['пять']
р	5.29	['р']
возможность	5.28	['возможность']
глаза	5.28	['глаза']
места	5.28	['места']
наконец	5.28	['наконец']
наш	5.28	['наш']
роль	5.28	['роль']
ж	5.27	['ж']
история	5.27	['история']
решение	5.27	['решение']
идет	5.26	['идет']
опять	5.26	['опять']
работать	5.26	['работать']
скоро	5.26	['скоро']
чуть	5.26	['чуть']
будто	5.25	['будто']
обычно	5.25	['обычно']
помощь	5.25	['помощь']
поскольку	5.25	['поскольку']
августа	5.24	['августа']
дальше	5.24	['дальше']
особенно	5.24	['особенно']
полностью	5.24	['полностью']
самый	5.24	['самый']
сильно	5.24	['сильно']
четыре	5.24	['четыре']
число	5.24	['число']
женщина	5.23	['женщина']
меньше	5.23	['меньше']
последний	5.23	['последний']
сайт	5.23	['сайт']
сын	5.23	['сын']
мало	5.22	['мало']
мама	5.22	['мама']
несмотря	5.22	['несмотря']
право	5.22	['право']
скорее	5.22	['скорее']
состав	5.22	['состав']
долго	5.21	['долго']
наиболее	5.21	['наиболее']
нем	5.21	['нем']
президент	5.21	['президент']
прямо	5.21	['прямо']
группа	5.20	['группа']
данные	5.20	['данные']
имени	5.20	['имени']
прежде	5.20	['прежде']
слово	5.20	['слово']
благодаря	5.19	['благодаря']
владимир	5.19	['владимир']
вместо	5.19	['вместо']
дети	5.19	['дети']
отец	5.19	['отец']
плохо	5.19	['плохо']
получить	5.19	['получить']
развитие	5.19	['развитие']
российский	5.19	['российский']
сначала	5.19	['сначала']
таки	5.19	['таки']
вокруг	5.18	['вокруг']
вроде	5.18	['вроде']
домой	5.18	['домой']
закон	5.18	['закон']
настоящее	5.18	['настоящее']
силы	5.18	['силы']
система	5.18	['система']
уровень	5.18	['уровень']
вновь	5.17	['вновь']
известно	5.17	['известно']
мать	5.17	['мать']
сердце	5.17	['сердце']
столько	5.17	['столько']
центр	5.17	['центр']
э	5.17	['э']
важно	5.16	['важно']
довольно	5.16	['довольно']
доме	5.16	['доме']
кстати	5.16	['кстати']
лицо	5.16	['лицо']
любовь	5.16	['любовь']
наверное	5.16	['наверное']
ответ	5.16	['ответ']
постоянно	5.16	['постоянно']
правильно	5.16	['правильно']
ранее	5.16	['ранее']
